legacy_path	current_location	classification
CORE_TRADING_THEORY.md	archive/authority/CORE_TRADING_THEORY_v2_1.md	exact_duplicate_removed
CORE_TRADING_THEORY_v2_1.md	archive/authority/CORE_TRADING_THEORY_v2_1.md	historical_authority
CURRENT_RESEARCH_THEORY_v3_2_DYNAMIC_AGGRESSIVE.md	theory/current/V3_2_DYNAMIC_AGGRESSIVE.md	current_theory_body
CURRENT_RESEARCH_THEORY_v3_DRAFT_FOR_REVIEW.md	theory/history/RESEARCH_THEORY_v3_DRAFT_FOR_REVIEW.md	historical_theory
CURRENT_RESEARCH_THEORY_v3_1_DRAFT_FOR_REVIEW.md	theory/history/RESEARCH_THEORY_v3_1_DRAFT_FOR_REVIEW.md	historical_theory
CURRENT_RESEARCH_THEORY_v3_1_1_SUCCESSOR.md	theory/history/RESEARCH_THEORY_v3_1_1_SUCCESSOR.md	historical_theory
CURRENT_SYSTEM_STATUS.md	archive/docs/logs/SYSTEM_STATUS_2026-08-01.md	historical_status
DATA_AUTHORITY_STANDARD_v1_0.md	archive/authority/DATA_AUTHORITY_STANDARD_v1_0.md	historical_authority
GENERALIZED_COMPETING_PATH_THEORY_CHALLENGER_v0_5_0.md	theory/history/GENERALIZED_COMPETING_PATH_THEORY_CHALLENGER_v0_5_0.md	historical_theory
MARKET_SENTIMENT_ORDINAL_STANDARD_v1_0.md	theory/history/MARKET_SENTIMENT_ORDINAL_STANDARD_v1_0.md	historical_theory
MARKET_SENTIMENT_ORDINAL_STANDARD_v1_1.md	theory/history/MARKET_SENTIMENT_ORDINAL_STANDARD_v1_1.md	historical_theory
MARKET_SENTIMENT_ORDINAL_STANDARD_v1_2.md	theory/history/MARKET_SENTIMENT_ORDINAL_STANDARD_v1_2.md	historical_theory
MSTA_HED_RAW_AUTHORITY_BUNDLE_P1A_SPEC_v0_1_0.md	archive/authority/MSTA_HED_RAW_AUTHORITY_BUNDLE_P1A_SPEC_v0_1_0.md	historical_authority
